type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU BBB+,1Y,Zero coupon,2.2,2.2,2.2
Rating,FIMMDA,PSU BBB+,2Y,Zero coupon,2.33,2.33,2.33
Rating,FIMMDA,PSU BBB+,3Y,Zero coupon,2.41,2.41,2.41
Rating,FIMMDA,PSU BBB+,4Y,Zero coupon,2.4,2.4,2.4
Rating,FIMMDA,PSU BBB+,5Y,Zero coupon,2.38,2.38,2.38
Rating,FIMMDA,PSU BBB+,6Y,Zero coupon,2.42,2.42,2.42
Rating,FIMMDA,PSU BBB+,7Y,Zero coupon,2.47,2.47,2.47
Rating,FIMMDA,PSU BBB+,8Y,Zero coupon,2.47,2.47,2.47
Rating,FIMMDA,PSU BBB+,9Y,Zero coupon,2.43,2.43,2.43
Rating,FIMMDA,PSU BBB+,10Y,Zero coupon,2.4,2.4,2.4
Rating,FIMMDA,PSU BBB,6M,Zero coupon,2.29,2.29,2.29
Rating,FIMMDA,PSU BBB,1Y,Zero coupon,2.2,2.2,2.2
Rating,FIMMDA,PSU BBB,2Y,Zero coupon,2.33,2.33,2.33
Rating,FIMMDA,PSU BBB,3Y,Zero coupon,2.41,2.41,2.41
Rating,FIMMDA,PSU BBB,4Y,Zero coupon,2.4,2.4,2.4
Rating,FIMMDA,PSU BBB,5Y,Zero coupon,2.38,2.38,2.38
Rating,FIMMDA,PSU BBB,6Y,Zero coupon,2.42,2.42,2.42
Rating,FIMMDA,PSU BBB,7Y,Zero coupon,2.47,2.47,2.47
Rating,FIMMDA,PSU BBB,8Y,Zero coupon,2.47,2.47,2.47
Rating,FIMMDA,PSU BBB,9Y,Zero coupon,2.43,2.43,2.43
Rating,FIMMDA,PSU BBB,10Y,Zero coupon,2.4,2.4,2.4
Rating,FIMMDA,PSU BBB-,6M,Zero coupon,2.54,2.54,2.54
Rating,FIMMDA,PSU BBB-,1Y,Zero coupon,2.45,2.45,2.45
Rating,FIMMDA,PSU BBB-,2Y,Zero coupon,2.58,2.58,2.58
Rating,FIMMDA,PSU BBB-,3Y,Zero coupon,2.66,2.66,2.66
Rating,FIMMDA,PSU BBB-,4Y,Zero coupon,2.65,2.65,2.65
Rating,FIMMDA,PSU BBB-,5Y,Zero coupon,2.64,2.64,2.64
Rating,FIMMDA,PSU BBB-,6Y,Zero coupon,2.68,2.68,2.68
Rating,FIMMDA,PSU BBB-,7Y,Zero coupon,2.72,2.72,2.72
Rating,FIMMDA,PSU BBB-,8Y,Zero coupon,2.73,2.73,2.73
Rating,FIMMDA,PSU BBB-,9Y,Zero coupon,2.68,2.68,2.68
Rating,FIMMDA,PSU BBB-,10Y,Zero coupon,2.65,2.65,2.65
Rating,FIMMDA,PSU BB+,6M,Zero coupon,2.791,2.791,2.791
Rating,FIMMDA,PSU BB+,1Y,Zero coupon,2.7,2.7,2.7
Rating,FIMMDA,PSU BB+,2Y,Zero coupon,2.83,2.83,2.83
Rating,FIMMDA,PSU BB+,3Y,Zero coupon,2.91,2.91,2.91
Rating,FIMMDA,PSU BB+,4Y,Zero coupon,2.9,2.9,2.9
Rating,FIMMDA,PSU BB+,5Y,Zero coupon,2.9,2.9,2.9
Rating,FIMMDA,PSU BB+,6Y,Zero coupon,2.94,2.94,2.94
Rating,FIMMDA,PSU BB+,7Y,Zero coupon,2.97,2.97,2.97
Rating,FIMMDA,PSU BB+,8Y,Zero coupon,2.99,2.99,2.99
Rating,FIMMDA,PSU BB+,9Y,Zero coupon,2.93,2.93,2.93
Rating,FIMMDA,PSU BB+,10Y,Zero coupon,2.9,2.9,2.9
Rating,FIMMDA,PSU BB,6M,Zero coupon,3.041,3.041,3.041
Rating,FIMMDA,PSU BB,1Y,Zero coupon,2.95,2.95,2.95
Rating,FIMMDA,PSU BB,2Y,Zero coupon,3.08,3.08,3.08
