type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,6M,Asset Swap,254,254,254
Rating,FIMMDA,PSU,1Y,Asset Swap,245,245,245
Rating,FIMMDA,PSU,2Y,Asset Swap,258,258,258
Rating,FIMMDA,PSU,3Y,Asset Swap,266,266,266
Rating,FIMMDA,PSU,4Y,Asset Swap,265,265,265
Rating,FIMMDA,PSU,5Y,Asset Swap,264,264,264
Rating,FIMMDA,PSU,6Y,Asset Swap,268,268,268
Rating,FIMMDA,PSU,7Y,Asset Swap,272,272,272
Rating,FIMMDA,PSU,8Y,Asset Swap,273,273,273
Rating,FIMMDA,PSU,9Y,Asset Swap,268,268,268
Rating,FIMMDA,PSU,10Y,Asset Swap,265,265,265
Rating,FIMMDA,PSU,6M,Asset Swap,279.1,279.1,279.1
Rating,FIMMDA,PSU,1Y,Asset Swap,270.0,270.0,270.0
Rating,FIMMDA,PSU,2Y,Asset Swap,283.0,283.0,283.0
Rating,FIMMDA,PSU,3Y,Asset Swap,291.0,291.0,291.0
Rating,FIMMDA,PSU,4Y,Asset Swap,290.0,290.0,290.0
Rating,FIMMDA,PSU,5Y,Asset Swap,290.0,290.0,290.0
Rating,FIMMDA,PSU,6Y,Asset Swap,294.0,294.0,294.0
Rating,FIMMDA,PSU,7Y,Asset Swap,297.0,297.0,297.0
Rating,FIMMDA,PSU,8Y,Asset Swap,299.0,299.0,299.0
Rating,FIMMDA,PSU,9Y,Asset Swap,293.0,293.0,293.0
Rating,FIMMDA,PSU,10Y,Asset Swap,290.0,290.0,290.0
Rating,FIMMDA,PSU,6M,Asset Swap,304.1,304.1,304.1
Rating,FIMMDA,PSU,1Y,Asset Swap,295.0,295.0,295.0
Rating,FIMMDA,PSU,2Y,Asset Swap,308.0,308.0,308.0
Rating,FIMMDA,PSU,3Y,Asset Swap,316.0,316.0,316.0
