type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU,Annualised spreads,Asset Swap,61,61,61
Rating,FIMMDA,PSU,6M,Asset Swap,53,53,53
Rating,FIMMDA,PSU,1Y,Asset Swap,73,73,73
Rating,FIMMDA,PSU,2Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,3Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,4Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,5Y,Asset Swap,68,68,68
Rating,FIMMDA,PSU,6Y,Asset Swap,71,71,71
Rating,FIMMDA,PSU,7Y,Asset Swap,68,68,68
Rating,FIMMDA,PSU,8Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,9Y,Asset Swap,60,60,60
Rating,FIMMDA,PSU,10Y,Asset Swap,25,25,25
