type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU AAA,6M,Asset Swap,61,61,61
Rating,FIMMDA,PSU AAA,1Y,Asset Swap,53,53,53
Rating,FIMMDA,PSU AAA,2Y,Asset Swap,73,73,73
Rating,FIMMDA,PSU AAA,3Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU AAA,4Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU AAA,5Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU AAA,6Y,Asset Swap,68,68,68
Rating,FIMMDA,PSU AAA,7Y,Asset Swap,71,71,71
Rating,FIMMDA,PSU AAA,8Y,Asset Swap,68,68,68
Rating,FIMMDA,PSU AAA,9Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU AAA,10Y,Asset Swap,60,60,60
Rating,FIMMDA,PSU AAA,15Y,Asset Swap,25,25,25
Rating,FIMMDA,PSU AA+,6M,Asset Swap,84,84,84
Rating,FIMMDA,PSU AA+,1Y,Asset Swap,75,75,75
Rating,FIMMDA,PSU AA+,2Y,Asset Swap,84,84,84
Rating,FIMMDA,PSU AA+,3Y,Asset Swap,89,89,89
Rating,FIMMDA,PSU AA+,4Y,Asset Swap,90,90,90
Rating,FIMMDA,PSU AA+,5Y,Asset Swap,90,90,90
Rating,FIMMDA,PSU AA+,6Y,Asset Swap,92,92,92
Rating,FIMMDA,PSU AA+,7Y,Asset Swap,93,93,93
Rating,FIMMDA,PSU AA+,8Y,Asset Swap,92,92,92
Rating,FIMMDA,PSU AA+,9Y,Asset Swap,90,90,90
Rating,FIMMDA,PSU AA+,10Y,Asset Swap,89,89,89
Rating,FIMMDA,PSU AA+,15Y,Asset Swap,50,50,50
Rating,FIMMDA,PSU AA,6M,Asset Swap,104,104,104
Rating,FIMMDA,PSU AA,1Y,Asset Swap,95,95,95
Rating,FIMMDA,PSU AA,2Y,Asset Swap,107,107,107
Rating,FIMMDA,PSU AA,3Y,Asset Swap,113,113,113
Rating,FIMMDA,PSU AA,4Y,Asset Swap,113,113,113
Rating,FIMMDA,PSU AA,5Y,Asset Swap,113,113,113
Rating,FIMMDA,PSU AA,6Y,Asset Swap,112,112,112
Rating,FIMMDA,PSU AA,7Y,Asset Swap,111,111,111
Rating,FIMMDA,PSU AA,8Y,Asset Swap,111,111,111
Rating,FIMMDA,PSU AA,9Y,Asset Swap,111,111,111
Rating,FIMMDA,PSU AA,10Y,Asset Swap,111,111,111
Rating,FIMMDA,PSU AA,15Y,Asset Swap,71,71,71
Rating,FIMMDA,PSU AA-,6M,Asset Swap,129,129,129
Rating,FIMMDA,PSU AA-,1Y,Asset Swap,120,120,120
Rating,FIMMDA,PSU AA-,2Y,Asset Swap,133,133,133
Rating,FIMMDA,PSU AA-,3Y,Asset Swap,140,140,140
Rating,FIMMDA,PSU AA-,4Y,Asset Swap,139,139,139
Rating,FIMMDA,PSU AA-,5Y,Asset Swap,138,138,138
Rating,FIMMDA,PSU AA-,6Y,Asset Swap,141,141,141
Rating,FIMMDA,PSU AA-,7Y,Asset Swap,144,144,144
Rating,FIMMDA,PSU AA-,8Y,Asset Swap,143,143,143
Rating,FIMMDA,PSU AA-,9Y,Asset Swap,141,141,141
Rating,FIMMDA,PSU AA-,10Y,Asset Swap,140,140,140
Rating,FIMMDA,PSU AA-,15Y,Asset Swap,107,107,107
Rating,FIMMDA,PSU A+,6M,Asset Swap,204,204,204
Rating,FIMMDA,PSU A+,1Y,Asset Swap,195,195,195
Rating,FIMMDA,PSU A+,2Y,Asset Swap,208,208,208
Rating,FIMMDA,PSU A+,3Y,Asset Swap,215,215,215
Rating,FIMMDA,PSU A+,4Y,Asset Swap,214,214,214
Rating,FIMMDA,PSU A+,5Y,Asset Swap,213,213,213
Rating,FIMMDA,PSU A+,6Y,Asset Swap,216,216,216
Rating,FIMMDA,PSU A+,7Y,Asset Swap,219,219,219
Rating,FIMMDA,PSU A+,8Y,Asset Swap,218,218,218
Rating,FIMMDA,PSU A+,9Y,Asset Swap,216,216,216
Rating,FIMMDA,PSU A+,10Y,Asset Swap,215,215,215
Rating,FIMMDA,PSU A+,15Y,Asset Swap,182,182,182
Rating,FIMMDA,PSU A,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU A,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU A,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU A,3Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU A,4Y,Asset Swap,239,239,239
Rating,FIMMDA,PSU A,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU A,6Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU A,7Y,Asset Swap,244,244,244
Rating,FIMMDA,PSU A,8Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU A,9Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU A,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU A,15Y,Asset Swap,207,207,207
Rating,FIMMDA,PSU A-,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU A-,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU A-,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU A-,3Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU A-,4Y,Asset Swap,239,239,239
Rating,FIMMDA,PSU A-,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU A-,6Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU A-,7Y,Asset Swap,244,244,244
Rating,FIMMDA,PSU A-,8Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU A-,9Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU A-,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU A-,15Y,Asset Swap,207,207,207
Rating,FIMMDA,PSU BBB+,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU BBB+,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU BBB+,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU BBB+,3Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU BBB+,4Y,Asset Swap,239,239,239
Rating,FIMMDA,PSU BBB+,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU BBB+,6Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU BBB+,7Y,Asset Swap,244,244,244
Rating,FIMMDA,PSU BBB+,8Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU BBB+,9Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU BBB+,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU BBB+,15Y,Asset Swap,207,207,207
Rating,FIMMDA,PSU BBB,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU BBB,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU BBB,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU BBB,3Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU BBB,4Y,Asset Swap,239,239,239
Rating,FIMMDA,PSU BBB,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU BBB,6Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU BBB,7Y,Asset Swap,244,244,244
Rating,FIMMDA,PSU BBB,8Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU BBB,9Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU BBB,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU BBB,15Y,Asset Swap,207,207,207
Rating,FIMMDA,PSU BBB-,6M,Asset Swap,254,254,254
Rating,FIMMDA,PSU BBB-,1Y,Asset Swap,245,245,245
Rating,FIMMDA,PSU BBB-,2Y,Asset Swap,258,258,258
Rating,FIMMDA,PSU BBB-,3Y,Asset Swap,265,265,265
Rating,FIMMDA,PSU BBB-,4Y,Asset Swap,264,264,264
Rating,FIMMDA,PSU BBB-,5Y,Asset Swap,263,263,263
Rating,FIMMDA,PSU BBB-,6Y,Asset Swap,266,266,266
Rating,FIMMDA,PSU BBB-,7Y,Asset Swap,269,269,269
Rating,FIMMDA,PSU BBB-,8Y,Asset Swap,268,268,268
Rating,FIMMDA,PSU BBB-,9Y,Asset Swap,266,266,266
Rating,FIMMDA,PSU BBB-,10Y,Asset Swap,265,265,265
Rating,FIMMDA,PSU BBB-,15Y,Asset Swap,232,232,232
Rating,FIMMDA,PSU BB+,6M,Asset Swap,279.1,279.1,279.1
Rating,FIMMDA,PSU BB+,1Y,Asset Swap,270.3,270.3,270.3
Rating,FIMMDA,PSU BB+,2Y,Asset Swap,282.7,282.7,282.7
Rating,FIMMDA,PSU BB+,3Y,Asset Swap,290.3,290.3,290.3
Rating,FIMMDA,PSU BB+,4Y,Asset Swap,289.0,289.0,289.0
Rating,FIMMDA,PSU BB+,5Y,Asset Swap,287.9,287.9,287.9
Rating,FIMMDA,PSU BB+,6Y,Asset Swap,291.0,291.0,291.0
Rating,FIMMDA,PSU BB+,7Y,Asset Swap,294.2,294.2,294.2
Rating,FIMMDA,PSU BB+,8Y,Asset Swap,293.0,293.0,293.0
Rating,FIMMDA,PSU BB+,9Y,Asset Swap,291.0,291.0,291.0
Rating,FIMMDA,PSU BB+,10Y,Asset Swap,289.6,289.6,289.6
Rating,FIMMDA,PSU BB+,15Y,Asset Swap,256.9,256.9,256.9
Rating,FIMMDA,PSU BB,6M,Asset Swap,304.1,304.1,304.1
Rating,FIMMDA,PSU BB,1Y,Asset Swap,295.3,295.3,295.3
Rating,FIMMDA,PSU BB,2Y,Asset Swap,307.7,307.7,307.7
Rating,FIMMDA,PSU BB,3Y,Asset Swap,315.3,315.3,315.3
Rating,FIMMDA,PSU BB,4Y,Asset Swap,314.0,314.0,314.0
Rating,FIMMDA,PSU BB,5Y,Asset Swap,312.9,312.9,312.9
Rating,FIMMDA,PSU BB,6Y,Asset Swap,316.0,316.0,316.0
Rating,FIMMDA,PSU BB,7Y,Asset Swap,319.2,319.2,319.2
Rating,FIMMDA,PSU BB,8Y,Asset Swap,318.0,318.0,318.0
Rating,FIMMDA,PSU BB,9Y,Asset Swap,316.0,316.0,316.0
Rating,FIMMDA,PSU BB,10Y,Asset Swap,314.6,314.6,314.6
Rating,FIMMDA,PSU BB,15Y,Asset Swap,281.9,281.9,281.9
Rating,FIMMDA,PSU Unrated,6M,Asset Swap,317.6,317.6,317.6
Rating,FIMMDA,PSU Unrated,1Y,Asset Swap,306.6,306.6,306.6
Rating,FIMMDA,PSU Unrated,2Y,Asset Swap,322.1,322.1,322.1
Rating,FIMMDA,PSU Unrated,3Y,Asset Swap,331.6,331.6,331.6
