type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU BBB,4Y,Zero coupon,240,240,240
Rating,FIMMDA,PSU BBB,5Y,Zero coupon,238,238,238
Rating,FIMMDA,PSU BBB,6Y,Zero coupon,242,242,242
Rating,FIMMDA,PSU BBB,7Y,Zero coupon,247,247,247
Rating,FIMMDA,PSU BBB,8Y,Zero coupon,247,247,247
Rating,FIMMDA,PSU BBB,9Y,Zero coupon,243,243,243
Rating,FIMMDA,PSU BBB,10Y,Zero coupon,240,240,240
Rating,FIMMDA,PSU BBB-,6M,Zero coupon,254,254,254
Rating,FIMMDA,PSU BBB-,1Y,Zero coupon,245,245,245
Rating,FIMMDA,PSU BBB-,2Y,Zero coupon,258,258,258
Rating,FIMMDA,PSU BBB-,3Y,Zero coupon,266,266,266
Rating,FIMMDA,PSU BBB-,4Y,Zero coupon,265,265,265
Rating,FIMMDA,PSU BBB-,5Y,Zero coupon,264,264,264
Rating,FIMMDA,PSU BBB-,6Y,Zero coupon,268,268,268
Rating,FIMMDA,PSU BBB-,7Y,Zero coupon,272,272,272
Rating,FIMMDA,PSU BBB-,8Y,Zero coupon,273,273,273
Rating,FIMMDA,PSU BBB-,9Y,Zero coupon,268,268,268
Rating,FIMMDA,PSU BBB-,10Y,Zero coupon,265,265,265
Rating,FIMMDA,PSU BB+,6M,Zero coupon,279.1,279.1,279.1
Rating,FIMMDA,PSU BB+,1Y,Zero coupon,270.0,270.0,270.0
Rating,FIMMDA,PSU BB+,2Y,Zero coupon,283.0,283.0,283.0
Rating,FIMMDA,PSU BB+,3Y,Zero coupon,291.0,291.0,291.0
Rating,FIMMDA,PSU BB+,4Y,Zero coupon,290.0,290.0,290.0
Rating,FIMMDA,PSU BB+,5Y,Zero coupon,290.0,290.0,290.0
Rating,FIMMDA,PSU BB+,6Y,Zero coupon,294.0,294.0,294.0
Rating,FIMMDA,PSU BB+,7Y,Zero coupon,297.0,297.0,297.0
Rating,FIMMDA,PSU BB+,8Y,Zero coupon,299.0,299.0,299.0
Rating,FIMMDA,PSU BB+,9Y,Zero coupon,293.0,293.0,293.0
Rating,FIMMDA,PSU BB+,10Y,Zero coupon,290.0,290.0,290.0
Rating,FIMMDA,PSU BB,6M,Zero coupon,304.1,304.1,304.1
Rating,FIMMDA,PSU BB,1Y,Zero coupon,295.0,295.0,295.0
Rating,FIMMDA,PSU BB,2Y,Zero coupon,308.0,308.0,308.0
Rating,FIMMDA,PSU BB,3Y,Zero coupon,316.0,316.0,316.0
Rating,FIMMDA,PSU BB,4Y,Zero coupon,315.0,315.0,315.0
Rating,FIMMDA,PSU BB,5Y,Zero coupon,316.0,316.0,316.0
Rating,FIMMDA,PSU BB,6Y,Zero coupon,320.0,320.0,320.0
Rating,FIMMDA,PSU BB,7Y,Zero coupon,322.0,322.0,322.0
Rating,FIMMDA,PSU BB,8Y,Zero coupon,325.0,325.0,325.0
Rating,FIMMDA,PSU BB,9Y,Zero coupon,318.0,318.0,318.0
Rating,FIMMDA,PSU BB,10Y,Zero coupon,315.0,315.0,315.0
Rating,FIMMDA,PSU Unrated,6M,Zero coupon,317.6,317.6,317.6
Rating,FIMMDA,PSU Unrated,1Y,Zero coupon,306.3,306.3,306.3
Rating,FIMMDA,PSU Unrated,2Y,Zero coupon,322.5,322.5,322.5
Rating,FIMMDA,PSU Unrated,3Y,Zero coupon,332.5,332.5,332.5
Rating,FIMMDA,PSU Unrated,4Y,Zero coupon,331.3,331.3,331.3
Rating,FIMMDA,PSU Unrated,5Y,Zero coupon,330.0,330.0,330.0
Rating,FIMMDA,PSU Unrated,6Y,Zero coupon,335.0,335.0,335.0
Rating,FIMMDA,PSU Unrated,7Y,Zero coupon,340.0,340.0,340.0
Rating,FIMMDA,PSU Unrated,8Y,Zero coupon,341.3,341.3,341.3
Rating,FIMMDA,PSU Unrated,9Y,Zero coupon,335.0,335.0,335.0
Rating,FIMMDA,PSU Unrated,10Y,Zero coupon,331.3,331.3,331.3
Rating,FIMMDA,NBFC AAA,6M,Zero coupon,114,114,114
Rating,FIMMDA,NBFC AAA,1Y,Zero coupon,105,105,105
Rating,FIMMDA,NBFC AAA,2Y,Zero coupon,117,117,117
Rating,FIMMDA,NBFC AAA,3Y,Zero coupon,125,125,125
Rating,FIMMDA,NBFC AAA,4Y,Zero coupon,119,119,119
Rating,FIMMDA,NBFC AAA,5Y,Zero coupon,115,115,115
Rating,FIMMDA,NBFC AAA,6Y,Zero coupon,111,111,111
Rating,FIMMDA,NBFC AAA,7Y,Zero coupon,106,106,106
Rating,FIMMDA,NBFC AAA,8Y,Zero coupon,107,107,107
Rating,FIMMDA,NBFC AAA,9Y,Zero coupon,106,106,106
Rating,FIMMDA,NBFC AAA,10Y,Zero coupon,105,105,105
Rating,FIMMDA,NBFC AA+,6M,Zero coupon,136,136,136
Rating,FIMMDA,NBFC AA+,1Y,Zero coupon,127,127,127
Rating,FIMMDA,NBFC AA+,2Y,Zero coupon,136,136,136
Rating,FIMMDA,NBFC AA+,3Y,Zero coupon,140,140,140
Rating,FIMMDA,NBFC AA+,4Y,Zero coupon,143,143,143
Rating,FIMMDA,NBFC AA+,5Y,Zero coupon,147,147,147
Rating,FIMMDA,NBFC AA+,6Y,Zero coupon,141,141,141
Rating,FIMMDA,NBFC AA+,7Y,Zero coupon,137,137,137
Rating,FIMMDA,NBFC AA+,8Y,Zero coupon,136,136,136
Rating,FIMMDA,NBFC AA+,9Y,Zero coupon,135,135,135
Rating,FIMMDA,NBFC AA+,10Y,Zero coupon,134,134,134
Rating,FIMMDA,NBFC AA,6M,Zero coupon,161,161,161
Rating,FIMMDA,NBFC AA,1Y,Zero coupon,152,152,152
Rating,FIMMDA,NBFC AA,2Y,Zero coupon,163,163,163
Rating,FIMMDA,NBFC AA,3Y,Zero coupon,169,169,169
Rating,FIMMDA,NBFC AA,4Y,Zero coupon,172,172,172
Rating,FIMMDA,NBFC AA,5Y,Zero coupon,175,175,175
Rating,FIMMDA,NBFC AA,6Y,Zero coupon,170,170,170
Rating,FIMMDA,NBFC AA,7Y,Zero coupon,165,165,165
Rating,FIMMDA,NBFC AA,8Y,Zero coupon,166,166,166
Rating,FIMMDA,NBFC AA,9Y,Zero coupon,164,164,164
Rating,FIMMDA,NBFC AA,10Y,Zero coupon,163,163,163
Rating,FIMMDA,NBFC AA-,6M,Zero coupon,188,188,188
Rating,FIMMDA,NBFC AA-,1Y,Zero coupon,179,179,179
Rating,FIMMDA,NBFC AA-,2Y,Zero coupon,192,192,192
Rating,FIMMDA,NBFC AA-,3Y,Zero coupon,199,199,199
Rating,FIMMDA,NBFC AA-,4Y,Zero coupon,201,201,201
Rating,FIMMDA,NBFC AA-,5Y,Zero coupon,204,204,204
Rating,FIMMDA,NBFC AA-,6Y,Zero coupon,199,199,199
Rating,FIMMDA,NBFC AA-,7Y,Zero coupon,197,197,197
Rating,FIMMDA,NBFC AA-,8Y,Zero coupon,199,199,199
Rating,FIMMDA,NBFC AA-,9Y,Zero coupon,200,200,200
Rating,FIMMDA,NBFC AA-,10Y,Zero coupon,199,199,199
Rating,FIMMDA,NBFC A+,6M,Zero coupon,238,238,238
Rating,FIMMDA,NBFC A+,1Y,Zero coupon,229,229,229
Rating,FIMMDA,NBFC A+,2Y,Zero coupon,242,242,242
Rating,FIMMDA,NBFC A+,3Y,Zero coupon,249,249,249
Rating,FIMMDA,NBFC A+,4Y,Zero coupon,251,251,251
Rating,FIMMDA,NBFC A+,5Y,Zero coupon,254,254,254
Rating,FIMMDA,NBFC A+,6Y,Zero coupon,250,250,250
Rating,FIMMDA,NBFC A+,7Y,Zero coupon,247,247,247
Rating,FIMMDA,NBFC A+,8Y,Zero coupon,250,250,250
Rating,FIMMDA,NBFC A+,9Y,Zero coupon,250,250,250
Rating,FIMMDA,NBFC A+,10Y,Zero coupon,249,249,249
Rating,FIMMDA,NBFC A,6M,Zero coupon,313,313,313
Rating,FIMMDA,NBFC A,1Y,Zero coupon,304,304,304
Rating,FIMMDA,NBFC A,2Y,Zero coupon,317,317,317
Rating,FIMMDA,NBFC A,3Y,Zero coupon,325,325,325
Rating,FIMMDA,NBFC A,4Y,Zero coupon,326,326,326
Rating,FIMMDA,NBFC A,5Y,Zero coupon,329,329,329
Rating,FIMMDA,NBFC A,6Y,Zero coupon,325,325,325
Rating,FIMMDA,NBFC A,7Y,Zero coupon,323,323,323
Rating,FIMMDA,NBFC A,8Y,Zero coupon,326,326,326
Rating,FIMMDA,NBFC A,9Y,Zero coupon,326,326,326
Rating,FIMMDA,NBFC A,10Y,Zero coupon,325,325,325
Rating,FIMMDA,NBFC A-,6M,Zero coupon,363,363,363
Rating,FIMMDA,NBFC A-,1Y,Zero coupon,354,354,354
Rating,FIMMDA,NBFC A-,2Y,Zero coupon,367,367,367
Rating,FIMMDA,NBFC A-,3Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC A-,4Y,Zero coupon,377,377,377
Rating,FIMMDA,NBFC A-,5Y,Zero coupon,379,379,379
Rating,FIMMDA,NBFC A-,6Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC A-,7Y,Zero coupon,373,373,373
Rating,FIMMDA,NBFC A-,8Y,Zero coupon,376,376,376
Rating,FIMMDA,NBFC A-,9Y,Zero coupon,376,376,376
Rating,FIMMDA,NBFC A-,10Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC BBB+,6M,Zero coupon,363,363,363
Rating,FIMMDA,NBFC BBB+,1Y,Zero coupon,354,354,354
Rating,FIMMDA,NBFC BBB+,2Y,Zero coupon,367,367,367
Rating,FIMMDA,NBFC BBB+,3Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC BBB+,4Y,Zero coupon,377,377,377
Rating,FIMMDA,NBFC BBB+,5Y,Zero coupon,379,379,379
Rating,FIMMDA,NBFC BBB+,6Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC BBB+,7Y,Zero coupon,373,373,373
Rating,FIMMDA,NBFC BBB+,8Y,Zero coupon,376,376,376
Rating,FIMMDA,NBFC BBB+,9Y,Zero coupon,376,376,376
Rating,FIMMDA,NBFC BBB+,10Y,Zero coupon,375,375,375
Rating,FIMMDA,NBFC BBB,6M,Zero coupon,388,388,388
Rating,FIMMDA,NBFC BBB,1Y,Zero coupon,379,379,379
Rating,FIMMDA,NBFC BBB,2Y,Zero coupon,392,392,392
Rating,FIMMDA,NBFC BBB,3Y,Zero coupon,400,400,400
Rating,FIMMDA,NBFC BBB,4Y,Zero coupon,402,402,402
Rating,FIMMDA,NBFC BBB,5Y,Zero coupon,404,404,404
Rating,FIMMDA,NBFC BBB,6Y,Zero coupon,400,400,400
Rating,FIMMDA,NBFC BBB,7Y,Zero coupon,398,398,398
Rating,FIMMDA,NBFC BBB,8Y,Zero coupon,402,402,402
Rating,FIMMDA,NBFC BBB,9Y,Zero coupon,401,401,401
Rating,FIMMDA,NBFC BBB,10Y,Zero coupon,400,400,400
Rating,FIMMDA,NBFC BBB-,6M,Zero coupon,438,438,438
Rating,FIMMDA,NBFC BBB-,1Y,Zero coupon,429,429,429
Rating,FIMMDA,NBFC BBB-,2Y,Zero coupon,442,442,442
Rating,FIMMDA,NBFC BBB-,3Y,Zero coupon,450,450,450
Rating,FIMMDA,NBFC BBB-,4Y,Zero coupon,452,452,452
Rating,FIMMDA,NBFC BBB-,5Y,Zero coupon,454,454,454
Rating,FIMMDA,NBFC BBB-,6Y,Zero coupon,450,450,450
Rating,FIMMDA,NBFC BBB-,7Y,Zero coupon,448,448,448
Rating,FIMMDA,NBFC BBB-,8Y,Zero coupon,452,452,452
Rating,FIMMDA,NBFC BBB-,9Y,Zero coupon,452,452,452
Rating,FIMMDA,NBFC BBB-,10Y,Zero coupon,450,450,450
Rating,FIMMDA,NBFC BB+,6M,Zero coupon,488.1,488.1,488.1
Rating,FIMMDA,NBFC BB+,1Y,Zero coupon,479.0,479.0,479.0
Rating,FIMMDA,NBFC BB+,2Y,Zero coupon,492.0,492.0,492.0
