currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR ZERO ZC SA,,3M,5.86,5.86,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6M,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9M,5.98,5.98,,
INR,Dep.Gen.,\INR ZERO ZC SA,,1Y,5.97,5.97,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15M,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18M,5.92,5.92,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21M,5.92,5.92,,
INR,Dep.Gen.,\INR ZERO ZC SA,,2Y,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,27M,5.96,5.96,,
INR,Dep.Gen.,\INR ZERO ZC SA,,30M,5.99,5.99,,
INR,Dep.Gen.,\INR ZERO ZC SA,,33M,6.03,6.03,,
INR,Dep.Gen.,\INR ZERO ZC SA,,3Y,6.06,6.06,,
INR,Dep.Gen.,\INR ZERO ZC SA,,39M,6.09,6.09,,
INR,Dep.Gen.,\INR ZERO ZC SA,,42M,6.12,6.12,,
INR,Dep.Gen.,\INR ZERO ZC SA,,45M,6.14,6.14,,
INR,Dep.Gen.,\INR ZERO ZC SA,,4Y,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO ZC SA,,51M,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,54M,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,57M,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,5Y,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,63M,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,66M,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,69M,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6Y,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,75M,6.18,6.18,,
INR,Dep.Gen.,\INR ZERO ZC SA,,78M,6.20,6.20,,
INR,Dep.Gen.,\INR ZERO ZC SA,,81M,6.22,6.22,,
INR,Dep.Gen.,\INR ZERO ZC SA,,7Y,6.25,6.25,,
INR,Dep.Gen.,\INR ZERO ZC SA,,87M,6.28,6.28,,
INR,Dep.Gen.,\INR ZERO ZC SA,,90M,6.31,6.31,,
INR,Dep.Gen.,\INR ZERO ZC SA,,93M,6.35,6.35,,
INR,Dep.Gen.,\INR ZERO ZC SA,,8Y,6.39,6.39,,
INR,Dep.Gen.,\INR ZERO ZC SA,,99M,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,102M,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,105M,6.38,6.38,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9Y,6.32,6.32,,
INR,Dep.Gen.,\INR ZERO ZC SA,,111M,6.27,6.27,,
INR,Dep.Gen.,\INR ZERO ZC SA,,114M,6.24,6.24,,
INR,Dep.Gen.,\INR ZERO ZC SA,,117M,6.24,6.24,,
INR,Dep.Gen.,\INR ZERO ZC SA,,10Y,6.31,6.31,,
INR,Dep.Gen.,\INR ZERO ZC SA,,123M,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,126M,6.53,6.53,,
INR,Dep.Gen.,\INR ZERO ZC SA,,129M,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO ZC SA,,11Y,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,135M,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,138M,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,141M,6.67,6.67,,
INR,Dep.Gen.,\INR ZERO ZC SA,,12Y,6.58,6.58,,
INR,Dep.Gen.,\INR ZERO ZC SA,,147M,6.50,6.50,,
INR,Dep.Gen.,\INR ZERO ZC SA,,150M,6.44,6.44,,
INR,Dep.Gen.,\INR ZERO ZC SA,,153M,6.42,6.42,,
INR,Dep.Gen.,\INR ZERO ZC SA,,13Y,6.43,6.43,,
INR,Dep.Gen.,\INR ZERO ZC SA,,159M,6.46,6.46,,
INR,Dep.Gen.,\INR ZERO ZC SA,,162M,6.51,6.51,,
INR,Dep.Gen.,\INR ZERO ZC SA,,165M,6.56,6.56,,
INR,Dep.Gen.,\INR ZERO ZC SA,,14Y,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO ZC SA,,171M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,174M,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,177M,6.80,6.80,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15Y,6.85,6.85,,
INR,Dep.Gen.,\INR ZERO ZC SA,,183M,6.88,6.88,,
INR,Dep.Gen.,\INR ZERO ZC SA,,186M,6.90,6.90,,
INR,Dep.Gen.,\INR ZERO ZC SA,,189M,6.90,6.90,,
INR,Dep.Gen.,\INR ZERO ZC SA,,16Y,6.89,6.89,,
INR,Dep.Gen.,\INR ZERO ZC SA,,195M,6.87,6.87,,
INR,Dep.Gen.,\INR ZERO ZC SA,,198M,6.85,6.85,,
INR,Dep.Gen.,\INR ZERO ZC SA,,201M,6.83,6.83,,
INR,Dep.Gen.,\INR ZERO ZC SA,,17Y,6.81,6.81,,
INR,Dep.Gen.,\INR ZERO ZC SA,,207M,6.79,6.79,,
INR,Dep.Gen.,\INR ZERO ZC SA,,210M,6.78,6.78,,
INR,Dep.Gen.,\INR ZERO ZC SA,,213M,6.77,6.77,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18Y,6.76,6.76,,
INR,Dep.Gen.,\INR ZERO ZC SA,,219M,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,222M,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,225M,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,19Y,6.73,6.73,,
INR,Dep.Gen.,\INR ZERO ZC SA,,231M,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,234M,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,237M,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,20Y,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,243M,6.70,6.70,,
