currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR ZERO ZC SA,,246M,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,249M,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21Y,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,255M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,258M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,261M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,22Y,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,267M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,270M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,273M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,23Y,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,279M,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,282M,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,285M,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,24Y,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,291M,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,294M,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,297M,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,25Y,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,303M,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,306M,6.73,6.73,,
INR,Dep.Gen.,\INR ZERO ZC SA,,309M,6.73,6.73,,
INR,Dep.Gen.,\INR ZERO ZC SA,,26Y,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,315M,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,318M,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,321M,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,27Y,6.76,6.76,,
INR,Dep.Gen.,\INR ZERO ZC SA,,327M,6.76,6.76,,
INR,Dep.Gen.,\INR ZERO ZC SA,,330M,6.77,6.77,,
INR,Dep.Gen.,\INR ZERO ZC SA,,333M,6.77,6.77,,
INR,Dep.Gen.,\INR ZERO ZC SA,,28Y,6.78,6.78,,
INR,Dep.Gen.,\INR ZERO ZC SA,,339M,6.78,6.78,,
INR,Dep.Gen.,\INR ZERO ZC SA,,342M,6.79,6.79,,
INR,Dep.Gen.,\INR ZERO ZC SA,,345M,6.79,6.79,,
INR,Dep.Gen.,\INR ZERO ZC SA,,29Y,6.80,6.80,,
INR,Dep.Gen.,\INR ZERO ZC SA,,351M,6.80,6.80,,
INR,Dep.Gen.,\INR ZERO ZC SA,,354M,6.80,6.80,,
INR,Dep.Gen.,\INR ZERO ZC SA,,357M,6.81,6.81,,
INR,Dep.Gen.,\INR ZERO ZC SA,,30Y,6.81,6.81,,
