currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR ZERO SA,,213M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,18Y,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,219M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,222M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,225M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,19Y,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,231M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,234M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,237M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,20Y,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,243M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,246M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,249M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,21Y,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,255M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,258M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,261M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,22Y,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,267M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,270M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,273M,6.60,6.60,,
INR,Dep.Gen.,\INR ZERO SA,,23Y,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,279M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,282M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,285M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,24Y,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,291M,6.61,6.61,,
INR,Dep.Gen.,\INR ZERO SA,,294M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,297M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,25Y,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,303M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,306M,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO SA,,309M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,26Y,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,315M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,318M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,321M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,27Y,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO SA,,327M,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO SA,,330M,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO SA,,333M,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO SA,,28Y,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,339M,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,342M,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,345M,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,29Y,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,351M,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,354M,6.66,6.66,,
INR,Dep.Gen.,\INR ZERO SA,,357M,6.66,6.66,,
INR,Dep.Gen.,\INR ZERO SA,,30Y,6.66,6.66,,
