currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR ZERO SA,,3M,5.69,5.69,,
INR,Dep.Gen.,\INR ZERO SA,,6M,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO SA,,9M,5.96,5.96,,
INR,Dep.Gen.,\INR ZERO SA,,1Y,5.97,5.97,,
INR,Dep.Gen.,\INR ZERO SA,,15M,5.91,5.91,,
INR,Dep.Gen.,\INR ZERO SA,,18M,5.93,5.93,,
INR,Dep.Gen.,\INR ZERO SA,,21M,5.92,5.92,,
INR,Dep.Gen.,\INR ZERO SA,,2Y,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO SA,,27M,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO SA,,30M,5.99,5.99,,
INR,Dep.Gen.,\INR ZERO SA,,33M,6.02,6.02,,
INR,Dep.Gen.,\INR ZERO SA,,3Y,6.05,6.05,,
INR,Dep.Gen.,\INR ZERO SA,,39M,6.08,6.08,,
INR,Dep.Gen.,\INR ZERO SA,,42M,6.11,6.11,,
INR,Dep.Gen.,\INR ZERO SA,,45M,6.12,6.12,,
INR,Dep.Gen.,\INR ZERO SA,,4Y,6.14,6.14,,
INR,Dep.Gen.,\INR ZERO SA,,51M,6.14,6.14,,
INR,Dep.Gen.,\INR ZERO SA,,54M,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO SA,,57M,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO SA,,5Y,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO SA,,63M,6.14,6.14,,
INR,Dep.Gen.,\INR ZERO SA,,66M,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO SA,,69M,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO SA,,6Y,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO SA,,75M,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO SA,,78M,6.18,6.18,,
INR,Dep.Gen.,\INR ZERO SA,,81M,6.20,6.20,,
INR,Dep.Gen.,\INR ZERO SA,,7Y,6.22,6.22,,
INR,Dep.Gen.,\INR ZERO SA,,87M,6.25,6.25,,
INR,Dep.Gen.,\INR ZERO SA,,90M,6.28,6.28,,
INR,Dep.Gen.,\INR ZERO SA,,93M,6.31,6.31,,
INR,Dep.Gen.,\INR ZERO SA,,8Y,6.34,6.34,,
INR,Dep.Gen.,\INR ZERO SA,,99M,6.35,6.35,,
INR,Dep.Gen.,\INR ZERO SA,,102M,6.36,6.36,,
INR,Dep.Gen.,\INR ZERO SA,,105M,6.33,6.33,,
INR,Dep.Gen.,\INR ZERO SA,,9Y,6.29,6.29,,
INR,Dep.Gen.,\INR ZERO SA,,111M,6.25,6.25,,
INR,Dep.Gen.,\INR ZERO SA,,114M,6.23,6.23,,
INR,Dep.Gen.,\INR ZERO SA,,117M,6.23,6.23,,
INR,Dep.Gen.,\INR ZERO SA,,10Y,6.28,6.28,,
INR,Dep.Gen.,\INR ZERO SA,,123M,6.35,6.35,,
INR,Dep.Gen.,\INR ZERO SA,,126M,6.44,6.44,,
INR,Dep.Gen.,\INR ZERO SA,,129M,6.52,6.52,,
INR,Dep.Gen.,\INR ZERO SA,,11Y,6.57,6.57,,
INR,Dep.Gen.,\INR ZERO SA,,135M,6.59,6.59,,
INR,Dep.Gen.,\INR ZERO SA,,138M,6.59,6.59,,
INR,Dep.Gen.,\INR ZERO SA,,141M,6.55,6.55,,
INR,Dep.Gen.,\INR ZERO SA,,12Y,6.49,6.49,,
INR,Dep.Gen.,\INR ZERO SA,,147M,6.43,6.43,,
INR,Dep.Gen.,\INR ZERO SA,,150M,6.40,6.40,,
INR,Dep.Gen.,\INR ZERO SA,,153M,6.39,6.39,,
INR,Dep.Gen.,\INR ZERO SA,,13Y,6.40,6.40,,
INR,Dep.Gen.,\INR ZERO SA,,159M,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO SA,,162M,6.44,6.44,,
INR,Dep.Gen.,\INR ZERO SA,,165M,6.48,6.48,,
INR,Dep.Gen.,\INR ZERO SA,,14Y,6.52,6.52,,
INR,Dep.Gen.,\INR ZERO SA,,171M,6.55,6.55,,
INR,Dep.Gen.,\INR ZERO SA,,174M,6.59,6.59,,
INR,Dep.Gen.,\INR ZERO SA,,177M,6.63,6.63,,
INR,Dep.Gen.,\INR ZERO SA,,15Y,6.66,6.66,,
INR,Dep.Gen.,\INR ZERO SA,,183M,6.67,6.67,,
INR,Dep.Gen.,\INR ZERO SA,,186M,6.68,6.68,,
INR,Dep.Gen.,\INR ZERO SA,,189M,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO SA,,16Y,6.68,6.68,,
INR,Dep.Gen.,\INR ZERO SA,,195M,6.67,6.67,,
INR,Dep.Gen.,\INR ZERO SA,,198M,6.67,6.67,,
INR,Dep.Gen.,\INR ZERO SA,,201M,6.66,6.66,,
INR,Dep.Gen.,\INR ZERO SA,,17Y,6.65,6.65,,
INR,Dep.Gen.,\INR ZERO SA,,207M,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO SA,,210M,6.64,6.64,,
